msl_trend,latbin,lonbin
2.5167885,60.0,-6.0
2.2994351,60.0,-5.0
2.367481,60.0,-4.0
2.4966216,60.0,-3.0
2.5688398,60.0,-2.0
2.5702038,60.0,-1.0
2.5863662,60.0,0.0
2.596027,60.0,1.0
2.5744712,60.0,2.0
2.776045,60.0,3.0
2.9759684,60.0,4.0
3.281805,60.0,5.0
3.1780581,60.0,6.0
